WKT,id,area_m2,cell_size_m,grid_id
"MULTIPOLYGON (((-71.755958411518 -43.1751908858687,-71.7555709096593 -43.1665800644555,-71.7594218801325 -43.1664871799065,-71.7590673197478 -43.1676272543928,-71.7586899191391 -43.1689043683913,-71.7583521587967 -43.1694129617699,-71.7568912417036 -43.1714473628818,-71.756568774727 -43.172733464167,-71.755958411518 -43.1751908858687)),((-71.7800245826226 -43.1659880487006,-71.7858132829102 -43.1658471420982,-71.7857848039521 -43.1660183256022,-71.785666253922 -43.1667329845841,-71.7852850836052 -43.167518656682,-71.7848066291506 -43.168187935669,-71.783705737766 -43.1687756721804,-71.7822928990044 -43.1678391224699,-71.7821347099068 -43.1676958515354,-71.7820375158803 -43.1675616669461,-71.7818674715118 -43.1673289973851,-71.7816676534269 -43.1668594260958,-71.7815460249665 -43.1667341080059,-71.7811325421557 -43.1662954229985,-71.7809617733281 -43.166250415394,-71.7807360723644 -43.1661963854187,-71.7800245826226 -43.1659880487006)),((-71.7684927823304 -43.1662678802578,-71.7742850358861 -43.1661274700669,-71.7741986394974 -43.1662149632216,-71.7738174555904 -43.1669603467232,-71.7733946413844 -43.1673973881673,-71.773131468221 -43.167584572406,-71.7724833083649 -43.1678915461515,-71.7720493609024 -43.1680425763216,-71.7708228113498 -43.167919517228,-71.7704389989363 -43.1677266318931,-71.7701406186332 -43.1675293940995,-71.7701224280144 -43.1675070832834,-71.7698060377831 -43.1672249473151,-71.7697877566446 -43.1672114950034,-71.7696298329059 -43.167019018541,-71.7694414103267 -43.1667952658692,-71.7692158822919 -43.1667098962247,-71.7686612021168 -43.1664987949835,-71.7684927823304 -43.1662678802578)))","91,1738",285073.394950287,"3000","91,1738"
"POLYGON ((-71.7193039499466 -43.1809079146908,-71.7187069296078 -43.1674626231174,-71.7555709096593 -43.1665800644555,-71.755958411518 -43.1751908858687,-71.7555449874637 -43.1768552842666,-71.7542209013666 -43.1797388647796,-71.7255025632073 -43.1807950201895,-71.7193039499466 -43.1809079146908))","92,1738",4396125.57718686,"3000","92,1738"
"POLYGON ((-71.6824212046482 -43.1815727274268,-71.6818412939002 -43.168333318029,-71.7187069296078 -43.1674626231174,-71.7193039499466 -43.1809079146908,-71.6824212046482 -43.1815727274268))","93,1738",4440318.98815546,"3000","93,1738"
"POLYGON ((-71.6455243930574 -43.1819322123953,-71.6449740248579 -43.1691921477302,-71.6818412939002 -43.168333318029,-71.6824212046482 -43.1815727274268,-71.6555817004373 -43.1820490539851,-71.6455243930574 -43.1819322123953))","94,1738",4358515.24382991,"3000","94,1738"
"POLYGON ((-71.6085931586258 -43.18149560022,-71.6081051448087 -43.1700391107808,-71.6449740248579 -43.1691921477302,-71.6455243930574 -43.1819322123953,-71.6085931586258 -43.18149560022))","95,1738",4026309.49498582,"3000","95,1738"
"POLYGON ((-71.5716618816869 -43.1810471026639,-71.5712346760865 -43.1708742057601,-71.6081051448087 -43.1700391107808,-71.6085931586258 -43.18149560022,-71.5716618816869 -43.1810471026639))","96,1738",3599139.42600433,"3000","96,1738"
"POLYGON ((-71.5347305847428 -43.1805867196326,-71.5343626410315 -43.1716974312674,-71.5712346760865 -43.1708742057601,-71.5716618816869 -43.1810471026639,-71.5347305847428 -43.1805867196326))","97,1738",3171962.11035937,"3000","97,1738"
"POLYGON ((-71.4977992902947 -43.1801144510521,-71.4974890619895 -43.1725087859219,-71.5343626410315 -43.1716974312674,-71.5347305847428 -43.1805867196326,-71.4977992902947 -43.1801144510521))","98,1738",2744778.01726672,"3000","98,1738"
"POLYGON ((-71.4608680208438 -43.1796302968682,-71.4606139613127 -43.1733082683623,-71.4974890619895 -43.1725087859219,-71.4977992902947 -43.1801144510521,-71.4608680208438 -43.1796302968682))","99,1738",2317587.61598306,"3000","99,1738"
"POLYGON ((-71.4239367988907 -43.1791342570467,-71.4237373613588 -43.1740958772474,-71.4606139613127 -43.1733082683623,-71.4608680208438 -43.1796302968682,-71.4239367988907 -43.1791342570467))","100,1738",1890391.37581738,"3000","100,1738"
