system:index,apn_perc,area_m2,available_area_m2,cell_size_m,coast_len,elev_mean,fires_perc,grid_id,id,lat,lon,no_urbano_perc_2017,no_urbano_perc_2018,no_urbano_perc_2019,no_urbano_perc_2020,no_urbano_perc_2021,no_urbano_perc_2022,no_urbano_perc_2023,no_urbano_perc_2024,non_apn_perc,precip_mean,retama_perc_2017,retama_perc_2018,retama_perc_2019,retama_perc_2020,retama_perc_2021,retama_perc_2022,retama_perc_2023,retama_perc_2024,rivers_len,roads_len,temp_mean,urbano_perc_2017,urbano_perc_2018,urbano_perc_2019,urbano_perc_2020,urbano_perc_2021,urbano_perc_2022,urbano_perc_2023,urbano_perc_2024,.geo
00000000000000000000,3.5489337424789644,428315.854977952,425402.54726338084,1000,0,1074.0,0.0,"276,5215","276,5215",-43.17776674816304,-71.74943690509338,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,96.45106625752105,90.3125,0.6604782753749878,0.7975586169295636,1.335133845090858,1.3522690756493765,1.534305938538547,1.433644481357905,1.296629391093423,1.1681489129870226,146.9555739347906,58.12329520231506,7.356771087646484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"{""type"":""Polygon"",""coordinates"":[[[-71.74387646240211,-43.18012012591607],[-71.74368603366473,-43.17587006401965],[-71.75586247770723,-43.1755772101219],[-71.7555449874637,-43.17685528426656],[-71.75422090136658,-43.17973886477955],[-71.74387646240211,-43.18012012591607]]]}"
00000000000000000001,0.0,480194.338659237,481033.3287929755,1000,0,1207.6,0.0,"277,5215","277,5215",-43.17818282099541,-71.7376006985512,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.99982173591589,90.3125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,7.356771087646484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"{""type"":""Polygon"",""coordinates"":[[[-71.73159285663418,-43.1805716377181],[-71.73139617542982,-43.17616429379243],[-71.74368603366473,-43.17587006401965],[-71.74387646240211,-43.18012012591607],[-71.73159285663418,-43.1805716377181]]]}"
00000000000000000002,0.0,494451.714464158,495329.9697874474,1000,0,1241.0,0.0,"278,5215","278,5215",-43.178539858116764,-71.7253405912216,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,90.36174242424242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,7.531297510320489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"{""type"":""Polygon"",""coordinates"":[[[-71.7193039007218,-43.180907948057566],[-71.71910621646266,-43.17645728841679],[-71.73139617542982,-43.17616429379243],[-71.73159285663418,-43.1805716377181],[-71.72550256320731,-43.180795020189514],[-71.7193039007218,-43.180907948057566]]]}"
00000000000000000003,0.0,489909.33298225,490770.8744810213,1000,0,1241.0,0.0,"279,5215","279,5215",-43.17881108585086,-71.71307496360042,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.9921956044339,90.58333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,270.71902244425706,8.316666412353516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"{""type"":""Polygon"",""coordinates"":[[[-71.70700977684697,-43.18113081871814],[-71.70681606798318,-43.17674896143057],[-71.71910621646266,-43.17645728841679],[-71.7193039007218,-43.180907948057566],[-71.70700977684697,-43.18113081871814]]]}"
00000000000000000004,0.0,482286.35356012,483130.8325126802,1000,0,963.8000000000001,0.0,"280,5215","280,5215",-43.17906769759082,-71.70078296970871,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.99094812701243,90.58333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,8.316666412353516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"{""type"":""Polygon"",""coordinates"":[[[-71.6947155553844,-43.18135245992057],[-71.69452573171911,-43.177039241284334],[-71.70681606798318,-43.17674896143057],[-71.70700977684697,-43.18113081871814],[-71.6947155553844,-43.18135245992057]]]}"
00000000000000000005,0.0,474663.752414035,475494.00898248976,1000,0,933.0,0.0,"281,5215","281,5215",-43.17932299490639,-71.68849089057359,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.98923984551654,90.58333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,336.6919885987106,8.316666412353516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"{""type"":""Polygon"",""coordinates"":[[[-71.6824211475486,-43.18157271367745],[-71.6822352093981,-43.1773282710153],[-71.69452573171911,-43.177039241284334],[-71.6947155553844,-43.18135245992057],[-71.6824211475486,-43.18157271367745]]]}"
00000000000000000006,0.0,467041.530479323,467864.974710472,1000,0,933.0,0.0,"282,5215","282,5215",-43.179576975251,-71.67619856640705,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.9874149302688,90.58333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,921.0921461222619,8.316666412353516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"{""type"":""Polygon"",""coordinates"":[[[-71.67012655506876,-43.18179172300819],[-71.66994450274773,-43.177615907551385],[-71.6822352093981,-43.1773282710153],[-71.6824211475486,-43.18157271367745],[-71.67012655506876,-43.18179172300819]]]}"
00000000000000000007,6.454052391061911,459419.688691389,460222.5789116955,1000,0,477.0,0.0,"283,5215","283,5215",-43.17982963613985,-71.66390615501084,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,93.54184855487871,90.58333333333333,1.2195218067624511,1.789680509248913,2.2806573870050535,1.7263332299052037,2.3440022360698296,2.359841648645356,2.3915098923022526,2.264807217212611,345.5762079478924,971.7230390006983,8.316666412353516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"{""type"":""Polygon"",""coordinates"":[[[-71.6578318702055,-43.182009359838],[-71.65765361349544,-43.177902293916695],[-71.66994450274773,-43.177615907551385],[-71.67012655506876,-43.18179172300819],[-71.6578318702055,-43.182009359838]]]}"
00000000000000000008,16.97454765146818,438498.580521282,434824.8750822771,1000,0,477.0,0.0,"284,5215","284,5215",-43.18002068655603,-71.65169644125208,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,83.01927331582175,93.49895833333333,7.4934005175351714,7.761605736241091,6.23619574625834,6.556868006062369,8.040405297813166,8.476242700157965,8.291857178954299,8.308626183254745,492.1546802298336,0,8.86479148864746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"{""type"":""Polygon"",""coordinates"":[[[-71.64552432927695,-43.18193218851649],[-71.64536254336859,-43.1781873585679],[-71.65765361349544,-43.177902293916695],[-71.6578318702055,-43.182009359838],[-71.65558170043734,-43.182049053985125],[-71.64552432927695,-43.18193218851649]]]}"
00000000000000000009,0.03998368410425034,391693.027952859,389623.66274186707,1000,0,477.0,0.0,"285,5215","285,5215",-43.18009412055767,-71.63941725937447,96.69897498510774,96.69897498510774,96.69897498510774,96.69897498510774,96.69897498510774,96.69897498510774,96.69897498510774,96.69897498510774,99.94519749324091,100.30208333333333,0.4489678086404045,0.467674793813582,0.6173332325357896,0.6921616079365909,1.7958923766483625,2.829127974979768,3.6709561126918615,3.685333691645037,0,643.6486517551248,10.14375,3.301025014892267,3.301025014892267,3.301025014892267,3.301025014892267,3.301025014892267,3.301025014892267,3.301025014892267,3.301025014892267,"{""type"":""Polygon"",""coordinates"":[[[-71.63321389182262,-43.1817879909079],[-71.63307129409446,-43.17847110148614],[-71.64536254336859,-43.1781873585679],[-71.64552432927695,-43.18193218851649],[-71.63321389182262,-43.1817879909079]]]}"
